sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,陈维桓,黎曼几何引论,nan,20201123,理科馆基础学科借阅室
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,曼克勒斯,代数拓扑基础,nan,20200207,理科馆基础学科借阅室
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,"金庸,",书剑恩仇录,nan,20200120,文科馆文学艺术书库
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,"金庸,",书剑恩仇录,nan,20200120,文科馆文学艺术书库
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,张惟杰,生命科学导论,nan,20191213,理科馆基础学科借阅室
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,达尔文,物种起源,nan,20191213,理科馆基础学科借阅室
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,陈波,悖论研究,nan,20191210,理科馆基础学科借阅室
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,崔爱莉,现代化学基础,nan,20191209,理科馆基础学科借阅室
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,张三慧,大学物理学,nan,20191209,理科馆基础学科借阅室
bdac2541fed1ff04606ae0f0a95c1e1e,数学科学学院,曼克勒斯,代数拓扑基础,nan,20191111,理科馆基础学科借阅室
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,徐胜芝,实分析与泛函分析,nan,20200228,理科馆基础学科借阅室
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,沈一兵,整体微分几何初步,nan,20200106,理科馆基础学科借阅室
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,"Stein, Elias M., 1931-",Functional analysis :,nan,20191211,理科馆外教中心阅览室
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,闵齐伋,订正六书通,nan,20191209,文科馆文科综合书库
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,戴兴华,天干地支的源流与应用,nan,20191209,理科馆理科书库
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,曹学界,今古篆字字典,nan,20191129,文科馆文学艺术书库
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,徐莉莉,尔雅,nan,20191121,医科馆密集库
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,徐胜芝,实分析与泛函分析,nan,20191114,理科馆基础学科借阅室
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,姜启源,数学模型,nan,20190815,理科馆基础学科借阅室
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,邓小平,邓小平文选,nan,20181105,文科馆政经法阅览室
fc01fe079b2ef86b801eeaf95c3f33c0,数学科学学院,邓小平,邓小平文选,nan,20181105,文科馆政经法阅览室
8c38169d2c934444897e58a1e86866ff,数学科学学院,廖良文,Б. П. 吉米多维奇数学分析习题全解,nan,20171228,理科馆基础学科借阅室
8c38169d2c934444897e58a1e86866ff,数学科学学院,冯克勤,代数数论简史,nan,20171228,理科馆基础学科借阅室
